from,to
2000,MSN
2000,MSN Internet Access
2000,MSN Portal
2000,MSNBC
2000,Microsoft
2000,Microsoft Access
2000,Microsoft Bookshelf
2000,Microsoft Developer Network
2000,Microsoft Direct Access
2000,Microsoft Europe
2000,Microsoft Excel
2000,Microsoft Exchange Server
2000,Microsoft Money
2000,Microsoft Office
2000,Microsoft Passport
2000,Microsoft Press
2000,Microsoft SQL Server
2000,Microsoft Word
2000,Microsoft Works
2000,NET
2000,OEM
2000,Office
2000,Oracle
2000,Personal Services
2000,Sales Marketing
2000,Sales Support
2000,Server Applications
2000,Silicon Graphics Inc
2000,Solution Providers
2000,Sony
2000,Subscription Service
2000,Sun Microsystems
2000,Support Group
2000,Sybase
2000,Systems Software
2000,The Consumer Group
2000,The Developer Group
2000,The Productivity Applications
2000,The Windows Division
2000,TransPoint
2000,Windows Media Technologies
2000,XML
2000,Yahoo
2000,bCentral
2001,AOL
2001,AOL Time Warner
2001,Advanced Consumer Technology
2001,Advanced Server
2001,Apple
2001,Application Center
2001,Board
2001,Business Groups
2001,Business Productivity
2001,Business Systems Division
2001,CNBC
2001,CarPoint
2001,Consumer Commerce
2001,Consumer Commerce Investments
2001,Consumer Software
2001,Corel
2001,Datacenter Server
2001,Desktop Applications
2001,Desktop Enterprise Software
2001,Desktop Enterprise Software Services
2001,Desktop Platforms
2001,Devices
2001,Electronic Arts
2001,Enterprise Services
2001,Enterprise Software Services
2001,Exchange Server
2001,Expedia
2001,Expedia Inc
2001,Group
2001,HailStorm
2001,HomeAdvisor
2001,Human Resources
2001,IBM
2001,Law Corporate Affairs
2001,Linux
2001,MSN
2001,MSN Business Group
2001,MSN Internet Access
2001,MSN eShop
2001,MSNBC
2001,Microsoft
2001,Microsoft Access
2001,Microsoft Europe
2001,Microsoft Excel
2001,Microsoft Great Plains
2001,Microsoft Money
2001,Microsoft Office
2001,Microsoft Press
2001,Microsoft Project
2001,Microsoft Research
2001,Microsoft Windows CE
2001,Microsoft Word
2001,Microsoft Works
2001,Mobile Information Server
2001,OEM
2001,Office
2001,Oracle
2001,PSG
2001,Personal Services Group
2001,Productivity Business Services
2001,Sales Marketing
2001,Sales Support
2001,Server Applications
2001,Services
2001,Services Group
2001,Services Platform Division
2001,Silicon Graphics Inc
2001,Software
2001,Sun Microsystems
2001,Sybase
2001,Systems Software
2001,Visual Studio
2001,Windows
2001,Worldwide Sales Marketing
2001,XML
2001,Xbox
2001,Yahoo
2001,bCentral
2002,Acceleration Server
2002,Advanced Server
2002,Apple
2002,Application Center
2002,BizTalk Server
2002,Board
2002,Business Platform
2002,Business Productivity
2002,Business Solutions
2002,CarPoint
2002,Commerce Server
2002,Consumer Commerce
2002,Consumer Commerce Investments
2002,Corel
2002,Datacenter Server
2002,Desktop Applications
2002,Desktop Platforms
2002,Devices
2002,Enterprise Services
2002,Enterprise Software Services
2002,Enterprise Storage Division
2002,Exchange
2002,Expedia
2002,Games Division
2002,Group
2002,Hardware
2002,HomeAdvisor
2002,Human Resources
2002,IBM
2002,Integration Server
2002,Linux
2002,MSDN
2002,MSN
2002,MSN Access
2002,MSN Internet Access
2002,MSN Network Services
2002,MSN Search
2002,Microsoft
2002,Microsoft Americas
2002,Microsoft Europe
2002,Microsoft Great Plains
2002,Microsoft Money
2002,Microsoft Office
2002,Microsoft Operations
2002,Microsoft Press
2002,Microsoft Project
2002,Microsoft Windows CE
2002,Microsoft Word
2002,Microsoft Works
2002,Mobile Information Server
2002,Office
2002,Oracle
2002,Personal Services Group
2002,Productivity Business Services
2002,SQL Server
2002,Sales Marketing
2002,Sales Support
2002,Server Applications
2002,Services
2002,Services Group
2002,SharePoint Portal Server
2002,Software
2002,Sony
2002,Sun
2002,Sun Microsystems
2002,Sybase
2002,Tablet
2002,USB
2002,Visio
2002,Visual Studio
2002,Warner
2002,Worldwide Sales Marketing
2002,XML
2002,Xbox
2002,Yahoo
2002,bCentral
2003,Apple
2003,Apple Computer
2003,Business Integrity
2003,Corel
2003,Dell
2003,ESA
2003,GPU
2003,General Counsel
2003,Group
2003,HPD
2003,Home Entertainment
2003,Human Resources
2003,IBM
2003,Linux
2003,MSFT
2003,MSN
2003,MSN MSN
2003,MSN Network
2003,MSN Subscription
2003,Microsoft
2003,Microsoft Business Solutions
2003,Microsoft Europe
2003,Microsoft Office
2003,Microsoft Office System
2003,Microsoft Xbox
2003,Mobile Embedded Devices
2003,Open Source
2003,Oracle
2003,Personal Services Group
2003,Productivity Business Services
2003,SEC
